screen_name,text,created_at,favorite_count,quote_count,reply_count
theblckcrusader,@JoeBiden isn't going to address this. He isn't on the side of Israel. He's on the side of the people firing rockets at them daily. #IsraelUnderAttack #IsraelUnderFire #Israeli #IsraeliAttackonAlAqsa #IsraelTerrorism Fuck Palestine. Bomb them https://t.co/r6ZOHdpK8o,2021-05-13T04:18:42Z,0,NA,NA
theblckcrusader,You guys ready for ww3? Thanks @JoeBiden #IsraelUnderAttack #IsraelUnderFire #Israeli #IsraeliTerrorism #IsraelTerrorism #IstandwithIsreal #Bidinflation #BidenGasLines https://t.co/77arBgAMC1,2021-05-13T04:56:46Z,0,NA,NA
theblckcrusader,Fuck Islam. @JoeBiden won't address what's happening to our ally. He's a coward. #IsraelUnderAttack #IsraelUnderFire #Israeli #IsraeliAttackonAlAqsa #IsraelTerrorism https://t.co/eql79wLJgL,2021-05-13T04:15:15Z,0,NA,NA
89jmill,@TheDailyShow @Trevornoah so because Israel 🇮🇱 is being terrorized and can properly protect themselves they are to blame? 🤔 don’t fire rockets at your neighbour if you can’t protect your own! #IsraelUnderAttack  #israeliLivesMatter https://t.co/YGZapbN2UU,2021-05-14T03:30:24Z,0,NA,NA
jainayush10,@Natsecjeff Israeli lobby is still very powerful in US. UAE &amp; KSA are indirectly supporting Israel. Israel must find a solution ASAP though #Netanyahu has hinted a long operation. Pressure to retaliate on UAE &amp; KSA is huge. This is a test of #AbrahamAccords. #IsraelUnderAttack,2021-05-14T03:30:16Z,0,NA,NA
Kah_Ke_Lunga_be,"That's the how Hamas Terrorist Attack on Israeli public .

#IsraelUnderAttack https://t.co/nQJ9PoZUNf",2021-05-13T03:11:32Z,11,NA,NA
Kah_Ke_Lunga_be,"Hamas is responsible for current situation .

Israel is under attack .

@IDF should take all necessary steps to protect their citizens .
#HamasTerrorists 
#ısraelunderattack https://t.co/hY8pjrjiF4 https://t.co/uAbB7xU9it",2021-05-14T03:30:14Z,2,NA,NA
mikail_miral,"Say stop to israel
#IsraelPalestine 
#Isreal 
#IsraelTerroristState 
#IsraelUnderAttack",2021-05-14T03:25:48Z,0,NA,NA
mikail_miral,"Babeys killer Israel
#IsraeliTerrorism
#IsraelUnderAttack
#GenocideinGaza",2021-05-14T03:27:34Z,1,NA,NA
mikail_miral,"Quiet, Israel is killing a child
#IsraelPalestine
#IsraelUnderAttack
#Isreal 
#GazaUnderAttack",2021-05-14T03:30:02Z,1,NA,NA
KToltz,"@DrShushan @janschakowsky Now that's a smart logical empathetic statement that is not merely designed to pander to one-sided Israel bashers @AyannaPressley could follow the lead of a seasoned leader such as @janschakowsky who's heart and head are always in alignment.
#IsraelUnderAttack",2021-05-13T23:56:13Z,0,NA,NA
KToltz,respectfully @jaketapper it's surprising someone who's so smart &amp; seasoned is glib/trite. Israel's using overwhelming lethal force to stop missiles shot into civilian areas as Hamas pursues a cynical strategy taking advantage of a Palestinian political vacuum. #IsraelUnderAttack https://t.co/v7qwFyTcze,2021-05-13T12:41:29Z,0,NA,NA
KToltz,Recommend former Israeli diplomat and now @jstreetdotorg Israel director @rntamir new and very thoughtful @TimesofIsrael piece #IsraelUnderAttack https://t.co/suvZDzMJW9,2021-05-13T05:38:18Z,0,NA,NA
KToltz,"As usual @davidhorovitz precisely &amp; clearly narrates what can seem like a very complex situation leading to #Israelunderattack from Hamas and Israeli-Arab towns suffering horrific riotous violence. Hoping for a better night tonight as @netanyahu ""leadership"" is not up to task. https://t.co/VBFA7aVeuZ",2021-05-13T16:55:07Z,0,NA,NA
KToltz,"@halbfinger @IyadAbuheweila @VivianHYee read last night as air raid sirens blared in Tel Aviv suburbs, friends &amp; neighbors ran to bomb shelters - Hamas stepped into the Palestinian political vacuum to cynically demonstrate they can terrorize Israelis in their homes. Everyone loses. #GazaUnderAttack 
#IsraelUnderAttack",2021-05-14T03:29:55Z,0,NA,NA
KToltz,"@havivrettiggur @TimesofIsrael while some would have an intellectual/philosophical debate, those of us within Gaza missile range are saying, ""Thanks Obama""! for funding #IronDome #IsraelUnderAttack",2021-05-13T12:25:52Z,0,NA,NA
KToltz,@OMTorah @havivrettiggur Squarely a result of years of dysfunctional self-serving corrupt @netanyahu government. #IsraelUnderAttack,2021-05-13T05:17:42Z,0,NA,NA
KToltz,"The current front page of the @TimesofIsrael website feels historic, unfortunately not in a good way.. #IsraelUnderAttack https://t.co/6y0owWCRU4",2021-05-13T23:42:39Z,0,NA,NA
jnavinfo,".@Sultanknish, ""You can't have a cease-fire without a war.

""The war is a prelude to #Israel being forced to make concessions for a temporary cease-fire and to negotiate with Hamas.""

#IsraelUnderAttack https://t.co/uDyZrWwifm",2021-05-14T03:29:48Z,0,NA,NA
jnavinfo,".@bariweiss, ""#Lies have replaced #truth. #Memes have replaced #morality. #Hashtags have replaced #history.

""I’m speaking, of course, about #Israel."" #IsraelUnderAttack

#GazaUnderAttackk
#Gaza_Under_Attack (though, one shouldn't wonder why.) https://t.co/IHljIsL9Bi",2021-05-13T09:04:31Z,1,NA,NA
webdesignquery,"#HamasTerrorist doing this

#IndiaStandsWithIsrael #IsraelUnderAttack 

 https://t.co/G4hNy9HhGw",2021-05-14T03:29:31Z,0,NA,NA
krishnajindal07,@IDF Terr0rist outfits like Islamist Militant group Hamas &amp; Islamic Jihad are attacking innocent Jewish &amp; Arab Israelis &amp; Israel has the absolute right to defend its people &amp; its borders! #IsraelUnderAttack #IsraelUnderFire #IndiaWithIsrael,2021-05-14T03:29:25Z,7,NA,NA
oliaklein,Thank you @IsraeliPM and may God be with you! #IsraelUnderAttack #istandwithIsrael https://t.co/iMgP4Fonhq,2021-05-14T03:28:51Z,0,NA,NA
oliaklein,"@IDF Obviously, aiming is not Lebanese strong suit. Lebanon will regret shortly that they entered this war. Nobody can win against IDF. They have the best army, weaponry, strategy, and God on their side. #IStandWithIsrael #israelunderattack",2021-05-13T18:59:23Z,19,NA,NA
RFANALAR5,"#IsraelUnderAttack  Invade my city, confiscate our lives, confiscate our homes, Burn our trees Kill the mothers Put the fathers in jail, The missile has arrived, Bomb the whole city Kill the babies in their sleep. Stop #IsraeliTerrorisme Where is the #HumanRights #GazaUnderAttack https://t.co/kPaC05V5FZ",2021-05-14T03:28:38Z,0,NA,NA
AshwinLukose,"@niezaminan @anjeempire1 @IDF Poor Malaysians don't know about the Six day war... The arabs lost their land to us.. 😂😂 Arabs are no shit for us... Gaza strip and the west bank will be ours💪🇮🇱
#IsraelUnderAttack",2021-05-14T03:28:11Z,0,NA,NA
tacatoo,"I'm interested in Israel than the covid 19.

#Israel #IsraelUnderAttack 
#Gaza #PalestineUnderAttack #EidAlFitr #EidMubarak",2021-05-14T03:28:10Z,0,NA,NA
israe1l,"Israel loves children

#IsraelUnderAttack https://t.co/ESI5lxUPSh",2021-05-14T03:28:06Z,0,NA,NA
israe1l,"Israel loves children 💀
#IsraelUnderAttack https://t.co/LGprH1N98g",2021-05-14T03:26:22Z,0,NA,NA
israe1l,"Israel loves children 💀

#IsraelUnderAttack https://t.co/2F5uyxEuVT",2021-05-14T03:24:43Z,0,NA,NA
shankarYaduvan4,Dear israel you are not alone whole india with you 🇮🇳🤝🇦🇷❤️#IndiaStandWithIsrael #IsraelUnderAttack #IstandwithIsreal https://t.co/dTxcR41OKK,2021-05-13T10:42:07Z,5,NA,NA
shankarYaduvan4,"Difference between Israel and Hamas Terrorists
#UniteAgainstTerror #IndiaStandWithIsrael #ISupportIsrael #IsraelUnderAttack https://t.co/InJUfWoKeV",2021-05-13T11:47:08Z,1,NA,NA
shankarYaduvan4,"We want peace and we are with ISRAEL 🇦🇷🤝🇮🇳
#IndiaStandwithPalestine #IstandwithIsreal #IsraelUnderAttack #IndiaStandWithIsrael https://t.co/qKhxqCxuYu",2021-05-13T09:56:53Z,2,NA,NA
shankarYaduvan4,This bond will stay 🇦🇷🤝🇮🇳#IndiaStandWithIsrael #IsraelUnderAttack https://t.co/mvZ0tIjM1m,2021-05-13T10:26:03Z,27,NA,NA
shankarYaduvan4,Israelis🇮🇱 always supported India🇮🇳 in our difficult times.. .. now its our turn to support Israel in their difficult times❤️ #WeStandWithIsrael #IstandwithIsreal #ISupportIsrael #IndiaStandsWithIsrael #IndiaWithIsrael #IsraelUnderAttack #Israeli #HamasTerrorists #इजराइल https://t.co/60Jz3hm6Kp,2021-05-14T03:27:23Z,1,NA,NA
shankarYaduvan4,"Nation first 🥇
#IndiaStandsWithIsrael
#ISupportIsrael #IsraelUnderAttack #ISupportIsrael https://t.co/hc2X7ueKcf",2021-05-13T16:14:41Z,2,NA,NA
shankarYaduvan4,"Tributes to Smt.Soumya Santosh, who got killed in the rocket attack by the Islamic Militant Organisation 'Hamas'.  #IndiaStandWithIsrael #IsraelUnderAttack #ISupportIsrael 
🙏🙏🙏🙏 https://t.co/ohAeXXZGHq",2021-05-13T10:22:40Z,1,NA,NA
IFENewsAgency,"#IsraelUnderAttack with more than 2000 rockets fired upon the cities of #Israel. If it's not for #IronDome there could had been 1000s of innocent casualties. 

Do pisfuls #Hamas expect chocolates in response?

Rockets placed inside densely populated area to use as human shields https://t.co/Hat19Up1tw",2021-05-14T02:59:04Z,10,NA,NA
IFENewsAgency,URGENT 🚨#IsraelUnderAttack(NEW): At least rockets have been launched at #Israel by #Lebanon. Reports on damage expected soon. #IndiaStandsWithIsrael #IndiaWithIsrael,2021-05-13T18:25:52Z,30,NA,NA
IFENewsAgency,"#BREAKING #IsraelUnderAttack:🚨

 #Israel Defense Forces (IDF) confirms that three rockets were fired from south #Lebanon.

Lebanon fires 3 missiles at Israel in a major escalation of war. In support of #Hamas #Palestine groups- IFE News Network https://t.co/xK4JyriFzm",2021-05-13T19:08:51Z,7,NA,NA
IFENewsAgency,"@TheIsraelink #BREAKING #IsraelUnderAttack:🚨

 #Israel Defense Forces (IDF) confirms that three rockets were fired from south #Lebanon.

Lebanon fires 3 missiles at Israel in a major escalation of war. In support of #Hamas #Palestine groups- IFE News Network https://t.co/xK4JyriFzm",2021-05-13T19:10:59Z,3,NA,NA
IFENewsAgency,"#IsraelUnderAttack 🚨  Another period of relative calm interrupted by red alerts in southern #Israel. #Hamas launching another barrage of rockets. 

#Israeli Air Force resume retaliation. https://t.co/uPPS4SygSx",2021-05-14T03:27:04Z,3,NA,NA
IFENewsAgency,"Radical #Palestine #Gaza Rioters are seen setting cars on fire in apartment parking lot where 100s of Jews live!

 Video from #Haifa, northern #Israel showing a group of pissfuls setting fire to cars in a parking lot of a building home to hundreds of #Jews.

#IsraelUnderAttack https://t.co/GgP5BKJK73",2021-05-13T06:41:24Z,32,NA,NA
stewie08701,"I hope @idfonline @IDF does not go into Gaza. They have the technology and wherewithal to fight this from the sky. It's always been a bloodbath when they go in. For everyone's sake. Please God no!!

#IsraelUnderFire
#IsraelUnderAttack
#Israel 
#OperationGuardianOfTheWalls",2021-05-13T18:33:22Z,0,NA,NA
stewie08701,"Was in #TwitterJail for 12 hours today. 

Tbh it is really gratifying knowing you pissed someone off to the extent that they want to get you banned. 

Anyways, I will continue to defend #Israel and Judaism and against the rabid antisemites.

#IsraelUnderAttack #IsraelUnderFire",2021-05-13T02:03:49Z,3,NA,NA
stewie08701,"For all the dummies/haters/antisemites out there. Don't forget the woke fools too. 

#Israel #IsraelUnderAttack #IsraelUnderFire https://t.co/F5gnttjfyj",2021-05-14T03:26:23Z,0,NA,NA
9kwDyo,"Shots fired during Lod riots
More here👉https://t.co/KiI2mWxomL
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/7Df5abRf1l",2021-05-13T17:41:53Z,0,NA,NA
9kwDyo,"Religious Jew attacked in Old City of #Jerusalem
More here👉https://t.co/KiI2mWfNvd
#Israel #IsraelUnderFire #IsraelUnderAttack #IsraeliCrimes #IsraeliAttackonAlAqsa #Palestine #IsraeliTerrorism @CNN @amnesty @hrw https://t.co/eyk3BrKnXA",2021-05-13T07:54:20Z,0,NA,NA
